stim1,stim2
stimuli\Triplets\36\base.png,stimuli\Triplets\36\base.png
stimuli\Triplets\18\base.png,stimuli\Triplets\18\sub.png
stimuli\Triplets\9\base.png,stimuli\Triplets\9\trans.png
stimuli\Triplets\34\base.png,stimuli\Triplets\34\trans.png
stimuli\Triplets\69\base.png,stimuli\Triplets\69\trans.png
stimuli\Triplets\37\base.png,stimuli\Triplets\37\sub.png
stimuli\Triplets\95\base.png,stimuli\Triplets\95\trans.png
stimuli\Triplets\34\base.png,stimuli\Catch\23.png
stimuli\Triplets\51\base.png,stimuli\Triplets\51\base.png
stimuli\Triplets\72\base.png,stimuli\Triplets\72\base.png
stimuli\Triplets\57\base.png,stimuli\Triplets\57\base.png
stimuli\Triplets\42\base.png,stimuli\Triplets\42\sub.png
stimuli\Triplets\25\base.png,stimuli\Triplets\25\trans.png
stimuli\Triplets\34\base.png,stimuli\Catch\7.png
stimuli\Triplets\87\base.png,stimuli\Triplets\87\trans.png
stimuli\Triplets\55\base.png,stimuli\Triplets\55\base.png
stimuli\Triplets\55\base.png,stimuli\Triplets\55\trans.png
stimuli\Triplets\62\base.png,stimuli\Triplets\62\sub.png
stimuli\Triplets\63\base.png,stimuli\Triplets\63\sub.png
stimuli\Triplets\11\base.png,stimuli\Triplets\11\base.png
stimuli\Triplets\37\base.png,stimuli\Triplets\37\trans.png
stimuli\Triplets\38\base.png,stimuli\Triplets\38\sub.png
stimuli\Catch\3.png,stimuli\Triplets\57\base.png
stimuli\Triplets\23\base.png,stimuli\Triplets\23\sub.png
stimuli\Triplets\54\base.png,stimuli\Triplets\54\trans.png
stimuli\Triplets\83\base.png,stimuli\Triplets\83\trans.png
stimuli\Triplets\22\base.png,stimuli\Triplets\22\sub.png
stimuli\Triplets\31\base.png,stimuli\Triplets\31\sub.png
stimuli\Triplets\3\base.png,stimuli\Triplets\3\base.png
stimuli\Triplets\90\base.png,stimuli\Triplets\90\base.png
stimuli\Triplets\55\trans.png,stimuli\Catch\17.png
stimuli\Triplets\74\base.png,stimuli\Triplets\74\base.png
stimuli\Triplets\96\base.png,stimuli\Triplets\96\base.png
stimuli\Triplets\54\base.png,stimuli\Triplets\54\sub.png
stimuli\Triplets\81\base.png,stimuli\Triplets\81\base.png
stimuli\Triplets\20\base.png,stimuli\Triplets\20\base.png
stimuli\Triplets\32\base.png,stimuli\Triplets\32\trans.png
stimuli\Triplets\75\base.png,stimuli\Triplets\75\base.png
stimuli\Catch\8.png,stimuli\Triplets\32\base.png
stimuli\Triplets\46\base.png,stimuli\Triplets\46\trans.png
stimuli\Triplets\56\base.png,stimuli\Triplets\56\sub.png
stimuli\Triplets\10\base.png,stimuli\Triplets\10\base.png
stimuli\Triplets\79\base.png,stimuli\Triplets\79\base.png
stimuli\Triplets\35\base.png,stimuli\Triplets\35\trans.png
stimuli\Triplets\56\base.png,stimuli\Catch\14.png
stimuli\Triplets\97\base.png,stimuli\Triplets\97\sub.png
stimuli\Triplets\64\base.png,stimuli\Triplets\64\sub.png
stimuli\Triplets\98\base.png,stimuli\Triplets\98\sub.png
stimuli\Triplets\7\base.png,stimuli\Triplets\7\trans.png
stimuli\Triplets\83\base.png,stimuli\Triplets\83\sub.png
stimuli\Triplets\75\base.png,stimuli\Triplets\75\trans.png
stimuli\Triplets\17\base.png,stimuli\Triplets\17\sub.png
stimuli\Triplets\5\base.png,stimuli\Triplets\5\base.png
stimuli\Triplets\69\base.png,stimuli\Triplets\69\sub.png
stimuli\Triplets\6\base.png,stimuli\Triplets\6\sub.png
stimuli\Triplets\37\base.png,stimuli\Catch\10.png
stimuli\Triplets\52\base.png,stimuli\Triplets\52\trans.png
stimuli\Triplets\80\base.png,stimuli\Triplets\80\base.png
stimuli\Triplets\42\base.png,stimuli\Triplets\42\trans.png
stimuli\Triplets\65\base.png,stimuli\Triplets\65\trans.png
stimuli\Triplets\43\base.png,stimuli\Triplets\43\sub.png
stimuli\Triplets\86\base.png,stimuli\Triplets\86\trans.png
stimuli\Triplets\18\sub.png,stimuli\Catch\13.png
stimuli\Triplets\74\base.png,stimuli\Triplets\74\sub.png
stimuli\Triplets\5\base.png,stimuli\Triplets\5\sub.png
stimuli\Triplets\39\base.png,stimuli\Triplets\39\trans.png
stimuli\Triplets\26\base.png,stimuli\Triplets\26\trans.png
stimuli\Triplets\80\base.png,stimuli\Triplets\80\sub.png
stimuli\Triplets\20\base.png,stimuli\Triplets\20\trans.png
stimuli\Catch\18.png,stimuli\Triplets\38\sub.png
stimuli\Triplets\68\base.png,stimuli\Triplets\68\base.png
stimuli\Triplets\91\base.png,stimuli\Triplets\91\base.png
stimuli\Triplets\47\base.png,stimuli\Triplets\47\base.png
stimuli\Triplets\8\base.png,stimuli\Triplets\8\base.png
stimuli\Triplets\56\base.png,stimuli\Triplets\56\trans.png
stimuli\Triplets\49\base.png,stimuli\Triplets\49\base.png
stimuli\Triplets\84\base.png,stimuli\Triplets\84\sub.png
stimuli\Catch\19.png,stimuli\Triplets\54\base.png
stimuli\Triplets\9\base.png,stimuli\Triplets\9\base.png
stimuli\Triplets\35\base.png,stimuli\Triplets\35\sub.png
stimuli\Triplets\97\base.png,stimuli\Triplets\97\trans.png
stimuli\Triplets\2\base.png,stimuli\Triplets\2\trans.png
stimuli\Triplets\24\base.png,stimuli\Triplets\24\sub.png
stimuli\Triplets\37\base.png,stimuli\Triplets\37\base.png
stimuli\Triplets\12\base.png,stimuli\Triplets\12\base.png
