stim1,stim2
stimuli\Triplets\71\base.png,stimuli\Triplets\71\sub.png
stimuli\Triplets\0\base.png,stimuli\Triplets\0\trans.png
stimuli\Triplets\61\base.png,stimuli\Triplets\61\base.png
stimuli\Triplets\92\base.png,stimuli\Triplets\92\trans.png
stimuli\Triplets\71\sub.png,stimuli\Catch\23.png
stimuli\Triplets\41\base.png,stimuli\Triplets\41\sub.png
stimuli\Triplets\72\base.png,stimuli\Triplets\72\trans.png
stimuli\Triplets\53\base.png,stimuli\Triplets\53\sub.png
stimuli\Triplets\55\base.png,stimuli\Triplets\55\sub.png
stimuli\Triplets\77\base.png,stimuli\Triplets\77\base.png
stimuli\Triplets\6\base.png,stimuli\Triplets\6\base.png
stimuli\Triplets\4\base.png,stimuli\Triplets\4\base.png
stimuli\Triplets\77\base.png,stimuli\Catch\7.png
stimuli\Triplets\59\base.png,stimuli\Triplets\59\base.png
stimuli\Triplets\48\base.png,stimuli\Triplets\48\base.png
stimuli\Triplets\92\base.png,stimuli\Triplets\92\sub.png
stimuli\Triplets\41\base.png,stimuli\Triplets\41\base.png
stimuli\Triplets\14\base.png,stimuli\Triplets\14\sub.png
stimuli\Triplets\70\base.png,stimuli\Triplets\70\trans.png
stimuli\Triplets\33\base.png,stimuli\Triplets\33\sub.png
stimuli\Triplets\53\base.png,stimuli\Triplets\53\trans.png
stimuli\Triplets\23\base.png,stimuli\Triplets\23\base.png
stimuli\Triplets\92\trans.png,stimuli\Catch\3.png
stimuli\Triplets\15\base.png,stimuli\Triplets\15\sub.png
stimuli\Triplets\79\base.png,stimuli\Triplets\79\sub.png
stimuli\Triplets\13\base.png,stimuli\Triplets\13\sub.png
stimuli\Triplets\44\base.png,stimuli\Triplets\44\trans.png
stimuli\Triplets\98\base.png,stimuli\Triplets\98\base.png
stimuli\Triplets\90\base.png,stimuli\Triplets\90\trans.png
stimuli\Catch\23.png,stimuli\Catch\17.png
stimuli\Triplets\50\base.png,stimuli\Triplets\50\base.png
stimuli\Triplets\94\base.png,stimuli\Triplets\94\sub.png
stimuli\Triplets\19\base.png,stimuli\Triplets\19\trans.png
stimuli\Triplets\34\base.png,stimuli\Triplets\34\base.png
stimuli\Triplets\78\base.png,stimuli\Triplets\78\trans.png
stimuli\Triplets\0\base.png,stimuli\Triplets\0\sub.png
stimuli\Triplets\22\base.png,stimuli\Triplets\22\trans.png
stimuli\Triplets\45\base.png,stimuli\Triplets\45\trans.png
stimuli\Triplets\80\base.png,stimuli\Triplets\80\trans.png
stimuli\Catch\8.png,stimuli\Triplets\78\base.png
stimuli\Triplets\22\base.png,stimuli\Triplets\22\base.png
stimuli\Triplets\11\base.png,stimuli\Triplets\11\trans.png
stimuli\Triplets\66\base.png,stimuli\Triplets\66\trans.png
stimuli\Triplets\12\base.png,stimuli\Triplets\12\trans.png
stimuli\Catch\14.png,stimuli\Triplets\53\base.png
stimuli\Triplets\87\base.png,stimuli\Triplets\87\base.png
stimuli\Triplets\1\base.png,stimuli\Triplets\1\base.png
stimuli\Triplets\85\base.png,stimuli\Triplets\85\sub.png
stimuli\Triplets\62\base.png,stimuli\Triplets\62\base.png
stimuli\Triplets\25\base.png,stimuli\Triplets\25\base.png
stimuli\Triplets\67\base.png,stimuli\Triplets\67\sub.png
stimuli\Triplets\33\base.png,stimuli\Triplets\33\trans.png
stimuli\Triplets\85\base.png,stimuli\Triplets\85\trans.png
stimuli\Triplets\61\base.png,stimuli\Catch\10.png
stimuli\Triplets\29\base.png,stimuli\Triplets\29\base.png
stimuli\Triplets\25\base.png,stimuli\Triplets\25\sub.png
stimuli\Triplets\9\base.png,stimuli\Triplets\9\sub.png
stimuli\Triplets\66\base.png,stimuli\Triplets\66\sub.png
stimuli\Triplets\74\base.png,stimuli\Triplets\74\trans.png
stimuli\Triplets\40\base.png,stimuli\Triplets\40\trans.png
stimuli\Triplets\53\base.png,stimuli\Catch\13.png
stimuli\Triplets\44\base.png,stimuli\Triplets\44\base.png
stimuli\Triplets\91\base.png,stimuli\Triplets\91\trans.png
stimuli\Triplets\95\base.png,stimuli\Triplets\95\sub.png
stimuli\Triplets\16\base.png,stimuli\Triplets\16\base.png
stimuli\Triplets\1\base.png,stimuli\Triplets\1\sub.png
stimuli\Triplets\51\base.png,stimuli\Triplets\51\trans.png
stimuli\Triplets\27\base.png,stimuli\Triplets\27\base.png
stimuli\Triplets\4\base.png,stimuli\Triplets\4\trans.png
stimuli\Catch\18.png,stimuli\Triplets\92\trans.png
stimuli\Triplets\42\base.png,stimuli\Triplets\42\base.png
stimuli\Triplets\45\base.png,stimuli\Triplets\45\base.png
stimuli\Triplets\1\base.png,stimuli\Triplets\1\trans.png
stimuli\Triplets\73\base.png,stimuli\Triplets\73\trans.png
stimuli\Triplets\94\base.png,stimuli\Triplets\94\trans.png
stimuli\Triplets\82\base.png,stimuli\Triplets\82\base.png
stimuli\Triplets\46\base.png,stimuli\Triplets\46\base.png
stimuli\Catch\19.png,stimuli\Triplets\82\base.png
stimuli\Triplets\45\base.png,stimuli\Triplets\45\sub.png
stimuli\Triplets\82\base.png,stimuli\Triplets\82\sub.png
stimuli\Triplets\91\base.png,stimuli\Triplets\91\sub.png
stimuli\Triplets\57\base.png,stimuli\Triplets\57\sub.png
stimuli\Triplets\34\base.png,stimuli\Triplets\34\sub.png
stimuli\Triplets\76\base.png,stimuli\Triplets\76\base.png
stimuli\Triplets\59\base.png,stimuli\Triplets\59\sub.png
