stim1,stim2
stimuli\Triplets\50\base.png,stimuli\Triplets\50\trans.png
stimuli\Triplets\13\base.png,stimuli\Triplets\13\trans.png
stimuli\Triplets\99\base.png,stimuli\Triplets\99\sub.png
stimuli\Triplets\38\base.png,stimuli\Triplets\38\base.png
stimuli\Triplets\39\base.png,stimuli\Triplets\39\base.png
stimuli\Catch\23.png,stimuli\Triplets\50\trans.png
stimuli\Triplets\78\base.png,stimuli\Triplets\78\sub.png
stimuli\Triplets\96\base.png,stimuli\Triplets\96\trans.png
stimuli\Triplets\19\base.png,stimuli\Triplets\19\base.png
stimuli\Triplets\24\base.png,stimuli\Triplets\24\trans.png
stimuli\Triplets\47\base.png,stimuli\Triplets\47\sub.png
stimuli\Triplets\29\base.png,stimuli\Triplets\29\trans.png
stimuli\Catch\7.png,stimuli\Triplets\39\base.png
stimuli\Triplets\29\base.png,stimuli\Triplets\29\sub.png
stimuli\Triplets\67\base.png,stimuli\Triplets\67\base.png
stimuli\Triplets\70\base.png,stimuli\Triplets\70\sub.png
stimuli\Triplets\8\base.png,stimuli\Triplets\8\sub.png
stimuli\Triplets\61\base.png,stimuli\Triplets\61\trans.png
stimuli\Triplets\17\base.png,stimuli\Triplets\17\base.png
stimuli\Triplets\90\base.png,stimuli\Triplets\90\sub.png
stimuli\Triplets\10\base.png,stimuli\Triplets\10\sub.png
stimuli\Triplets\17\base.png,stimuli\Catch\3.png
stimuli\Triplets\69\base.png,stimuli\Triplets\69\base.png
stimuli\Triplets\7\base.png,stimuli\Triplets\7\sub.png
stimuli\Triplets\40\base.png,stimuli\Triplets\40\base.png
stimuli\Triplets\64\base.png,stimuli\Triplets\64\trans.png
stimuli\Triplets\7\base.png,stimuli\Triplets\7\base.png
stimuli\Triplets\5\base.png,stimuli\Triplets\5\trans.png
stimuli\Catch\17.png,stimuli\Triplets\17\base.png
stimuli\Triplets\30\base.png,stimuli\Triplets\30\base.png
stimuli\Triplets\99\base.png,stimuli\Triplets\99\trans.png
stimuli\Triplets\30\base.png,stimuli\Triplets\30\sub.png
stimuli\Triplets\33\base.png,stimuli\Triplets\33\base.png
stimuli\Triplets\24\base.png,stimuli\Triplets\24\base.png
stimuli\Triplets\31\base.png,stimuli\Triplets\31\trans.png
stimuli\Triplets\21\base.png,stimuli\Triplets\21\base.png
stimuli\Catch\8.png,stimuli\Triplets\40\base.png
stimuli\Triplets\71\base.png,stimuli\Triplets\71\base.png
stimuli\Triplets\73\base.png,stimuli\Triplets\73\base.png
stimuli\Triplets\86\base.png,stimuli\Triplets\86\base.png
stimuli\Triplets\60\base.png,stimuli\Triplets\60\sub.png
stimuli\Triplets\97\base.png,stimuli\Triplets\97\base.png
stimuli\Triplets\96\base.png,stimuli\Triplets\96\sub.png
stimuli\Triplets\39\base.png,stimuli\Triplets\39\sub.png
stimuli\Triplets\32\base.png,stimuli\Triplets\32\base.png
stimuli\Triplets\86\base.png,stimuli\Catch\14.png
stimuli\Triplets\77\base.png,stimuli\Triplets\77\trans.png
stimuli\Triplets\15\base.png,stimuli\Triplets\15\trans.png
stimuli\Triplets\38\base.png,stimuli\Triplets\38\trans.png
stimuli\Triplets\48\base.png,stimuli\Triplets\48\sub.png
stimuli\Triplets\27\base.png,stimuli\Triplets\27\trans.png
stimuli\Triplets\26\base.png,stimuli\Triplets\26\sub.png
stimuli\Triplets\14\base.png,stimuli\Triplets\14\trans.png
stimuli\Triplets\95\base.png,stimuli\Triplets\95\base.png
stimuli\Triplets\6\base.png,stimuli\Triplets\6\trans.png
stimuli\Catch\10.png,stimuli\Triplets\19\base.png
stimuli\Triplets\28\base.png,stimuli\Triplets\28\sub.png
stimuli\Triplets\73\base.png,stimuli\Triplets\73\sub.png
stimuli\Triplets\52\base.png,stimuli\Triplets\52\sub.png
stimuli\Triplets\58\base.png,stimuli\Triplets\58\base.png
stimuli\Catch\13.png,stimuli\Triplets\61\base.png
stimuli\Triplets\93\base.png,stimuli\Triplets\93\trans.png
stimuli\Triplets\89\base.png,stimuli\Triplets\89\base.png
stimuli\Triplets\12\base.png,stimuli\Triplets\12\sub.png
stimuli\Triplets\0\base.png,stimuli\Triplets\0\base.png
stimuli\Triplets\72\base.png,stimuli\Triplets\72\sub.png
stimuli\Triplets\89\base.png,stimuli\Triplets\89\trans.png
stimuli\Triplets\63\base.png,stimuli\Triplets\63\trans.png
stimuli\Triplets\43\base.png,stimuli\Triplets\43\trans.png
stimuli\Triplets\90\base.png,stimuli\Catch\18.png
stimuli\Triplets\18\base.png,stimuli\Triplets\18\trans.png
stimuli\Triplets\99\base.png,stimuli\Triplets\99\base.png
stimuli\Triplets\35\base.png,stimuli\Triplets\35\base.png
stimuli\Triplets\81\base.png,stimuli\Triplets\81\trans.png
stimuli\Triplets\84\base.png,stimuli\Triplets\84\trans.png
stimuli\Triplets\40\base.png,stimuli\Triplets\40\sub.png
stimuli\Triplets\84\base.png,stimuli\Triplets\84\base.png
stimuli\Catch\19.png,stimuli\Triplets\96\trans.png
stimuli\Triplets\16\base.png,stimuli\Triplets\16\trans.png
stimuli\Triplets\44\base.png,stimuli\Triplets\44\sub.png
stimuli\Triplets\79\base.png,stimuli\Triplets\79\trans.png
stimuli\Triplets\81\base.png,stimuli\Triplets\81\sub.png
stimuli\Triplets\11\base.png,stimuli\Triplets\11\sub.png
stimuli\Triplets\26\base.png,stimuli\Triplets\26\base.png
stimuli\Triplets\61\base.png,stimuli\Triplets\61\sub.png
