stim1,stim2,stim3,stim4
stimuli\Z3\69.png,stimuli\Z3\14.png,stimuli\Z3\40.png,stimuli\Z3\138.png
stimuli\Z2\129.png,stimuli\Z2\99.png,stimuli\Z2\136.png,stimuli\Z2\90.png
stimuli\Z3\21.png,stimuli\Z3\78.png,stimuli\Z3\123.png,stimuli\Z3\153.png
stimuli\Z2\99.png,stimuli\Z3\153.png,stimuli\Z3\69.png,stimuli\Catch\7.png
stimuli\Z3\158.png,stimuli\Z3\59.png,stimuli\Z3\72.png,stimuli\Z3\81.png
stimuli\Z2\159.png,stimuli\Z2\127.png,stimuli\Z2\109.png,stimuli\Z2\32.png
stimuli\Z3\42.png,stimuli\Z3\144.png,stimuli\Z3\51.png,stimuli\Z3\154.png
stimuli\Z3\129.png,stimuli\Z3\99.png,stimuli\Z3\136.png,stimuli\Z3\90.png
stimuli\Z2\103.png,stimuli\Z2\84.png,stimuli\Z2\126.png,stimuli\Z2\1.png
stimuli\Z2\158.png,stimuli\Z2\59.png,stimuli\Z2\72.png,stimuli\Z2\81.png
stimuli\Z3\115.png,stimuli\Z3\73.png,stimuli\Z3\27.png,stimuli\Z3\70.png
stimuli\Z3\59.png,stimuli\Z3\51.png,stimuli\Catch\16.png,stimuli\Z3\70.png
stimuli\Z3\135.png,stimuli\Z3\116.png,stimuli\Z3\130.png,stimuli\Z3\35.png
stimuli\Z3\150.png,stimuli\Z3\55.png,stimuli\Z3\155.png,stimuli\Z3\62.png
stimuli\Z3\6.png,stimuli\Z3\95.png,stimuli\Z3\12.png,stimuli\Z3\33.png
stimuli\Z2\81.png,stimuli\Z3\62.png,stimuli\Z3\129.png,stimuli\Catch\13.png
stimuli\Z3\118.png,stimuli\Z3\139.png,stimuli\Z3\9.png,stimuli\Z3\67.png
stimuli\Z2\60.png,stimuli\Z2\28.png,stimuli\Z2\46.png,stimuli\Z2\96.png
stimuli\Z2\98.png,stimuli\Z2\93.png,stimuli\Z2\54.png,stimuli\Z2\83.png
stimuli\Z2\43.png,stimuli\Z2\100.png,stimuli\Z2\106.png,stimuli\Z2\4.png
stimuli\Z2\47.png,stimuli\Z2\89.png,stimuli\Z2\145.png,stimuli\Z2\58.png
stimuli\Z2\69.png,stimuli\Z2\14.png,stimuli\Z2\40.png,stimuli\Z2\138.png
stimuli\Z2\150.png,stimuli\Z2\55.png,stimuli\Z2\155.png,stimuli\Z2\62.png
stimuli\Catch\5.png,stimuli\Z3\73.png,stimuli\Z3\40.png,stimuli\Z3\90.png
