stim1,stim2
stimuli\Triplets\60\base.png,stimuli\Triplets\60\base.png
stimuli\Triplets\88\base.png,stimuli\Triplets\88\base.png
stimuli\Triplets\47\base.png,stimuli\Triplets\47\trans.png
stimuli\Triplets\36\base.png,stimuli\Triplets\36\trans.png
stimuli\Triplets\3\base.png,stimuli\Triplets\3\sub.png
stimuli\Catch\23.png,stimuli\Triplets\3\sub.png
stimuli\Triplets\17\base.png,stimuli\Triplets\17\trans.png
stimuli\Triplets\83\base.png,stimuli\Triplets\83\base.png
stimuli\Triplets\20\base.png,stimuli\Triplets\20\sub.png
stimuli\Triplets\89\base.png,stimuli\Triplets\89\sub.png
stimuli\Triplets\82\base.png,stimuli\Triplets\82\trans.png
stimuli\Triplets\58\base.png,stimuli\Triplets\58\sub.png
stimuli\Triplets\52\base.png,stimuli\Triplets\52\base.png
stimuli\Catch\7.png,stimuli\Triplets\88\base.png
stimuli\Triplets\27\base.png,stimuli\Triplets\27\sub.png
stimuli\Triplets\43\base.png,stimuli\Triplets\43\base.png
stimuli\Triplets\70\base.png,stimuli\Triplets\70\base.png
stimuli\Triplets\76\base.png,stimuli\Triplets\76\trans.png
stimuli\Triplets\48\base.png,stimuli\Triplets\48\trans.png
stimuli\Triplets\77\base.png,stimuli\Triplets\77\sub.png
stimuli\Triplets\47\base.png,stimuli\Catch\3.png
stimuli\Triplets\88\base.png,stimuli\Triplets\88\trans.png
stimuli\Triplets\94\base.png,stimuli\Triplets\94\base.png
stimuli\Triplets\78\base.png,stimuli\Triplets\78\base.png
stimuli\Triplets\92\base.png,stimuli\Triplets\92\base.png
stimuli\Triplets\65\base.png,stimuli\Triplets\65\base.png
stimuli\Triplets\18\base.png,stimuli\Triplets\18\base.png
stimuli\Triplets\59\base.png,stimuli\Triplets\59\trans.png
stimuli\Triplets\28\base.png,stimuli\Triplets\28\base.png
stimuli\Triplets\51\base.png,stimuli\Triplets\51\sub.png
stimuli\Triplets\63\base.png,stimuli\Triplets\63\base.png
stimuli\Catch\17.png,stimuli\Triplets\89\base.png
stimuli\Triplets\2\base.png,stimuli\Triplets\2\base.png
stimuli\Triplets\21\base.png,stimuli\Triplets\21\trans.png
stimuli\Triplets\56\base.png,stimuli\Triplets\56\base.png
stimuli\Triplets\66\base.png,stimuli\Triplets\66\base.png
stimuli\Triplets\19\base.png,stimuli\Triplets\19\sub.png
stimuli\Triplets\4\base.png,stimuli\Triplets\4\sub.png
stimuli\Catch\8.png,stimuli\Triplets\70\base.png
stimuli\Triplets\30\base.png,stimuli\Triplets\30\trans.png
stimuli\Triplets\67\base.png,stimuli\Triplets\67\trans.png
stimuli\Triplets\31\base.png,stimuli\Triplets\31\base.png
stimuli\Triplets\71\base.png,stimuli\Triplets\71\trans.png
stimuli\Triplets\64\base.png,stimuli\Triplets\64\base.png
stimuli\Triplets\76\base.png,stimuli\Catch\14.png
stimuli\Triplets\62\base.png,stimuli\Triplets\62\trans.png
stimuli\Triplets\2\base.png,stimuli\Triplets\2\sub.png
stimuli\Triplets\41\base.png,stimuli\Triplets\41\trans.png
stimuli\Triplets\10\base.png,stimuli\Triplets\10\trans.png
stimuli\Triplets\68\base.png,stimuli\Triplets\68\trans.png
stimuli\Triplets\75\base.png,stimuli\Triplets\75\sub.png
stimuli\Triplets\88\base.png,stimuli\Triplets\88\sub.png
stimuli\Triplets\93\base.png,stimuli\Triplets\93\sub.png
stimuli\Triplets\3\base.png,stimuli\Triplets\3\trans.png
stimuli\Triplets\32\base.png,stimuli\Triplets\32\sub.png
stimuli\Catch\10.png,stimuli\Triplets\83\base.png
stimuli\Triplets\13\base.png,stimuli\Triplets\13\base.png
stimuli\Triplets\36\base.png,stimuli\Triplets\36\sub.png
stimuli\Triplets\76\base.png,stimuli\Triplets\76\sub.png
stimuli\Triplets\65\base.png,stimuli\Triplets\65\sub.png
stimuli\Triplets\28\base.png,stimuli\Triplets\28\trans.png
stimuli\Triplets\47\base.png,stimuli\Catch\13.png
stimuli\Triplets\14\base.png,stimuli\Triplets\14\base.png
stimuli\Triplets\49\base.png,stimuli\Triplets\49\trans.png
stimuli\Triplets\86\base.png,stimuli\Triplets\86\sub.png
stimuli\Triplets\68\base.png,stimuli\Triplets\68\sub.png
stimuli\Triplets\21\base.png,stimuli\Triplets\21\sub.png
stimuli\Triplets\46\base.png,stimuli\Triplets\46\sub.png
stimuli\Triplets\8\base.png,stimuli\Triplets\8\trans.png
stimuli\Catch\18.png,stimuli\Triplets\89\base.png
stimuli\Triplets\85\base.png,stimuli\Triplets\85\base.png
stimuli\Triplets\57\base.png,stimuli\Triplets\57\trans.png
stimuli\Triplets\53\base.png,stimuli\Triplets\53\base.png
stimuli\Triplets\15\base.png,stimuli\Triplets\15\base.png
stimuli\Triplets\16\base.png,stimuli\Triplets\16\sub.png
stimuli\Triplets\58\base.png,stimuli\Triplets\58\trans.png
stimuli\Triplets\49\base.png,stimuli\Triplets\49\sub.png
stimuli\Triplets\87\base.png,stimuli\Triplets\87\sub.png
stimuli\Triplets\60\base.png,stimuli\Triplets\60\trans.png
stimuli\Triplets\58\base.png,stimuli\Catch\19.png
stimuli\Triplets\54\base.png,stimuli\Triplets\54\base.png
stimuli\Triplets\50\base.png,stimuli\Triplets\50\sub.png
stimuli\Triplets\98\base.png,stimuli\Triplets\98\trans.png
stimuli\Triplets\23\base.png,stimuli\Triplets\23\trans.png
stimuli\Triplets\93\base.png,stimuli\Triplets\93\base.png
