stim1,stim2,stim3,stim4
stimuli\Z2\60.png,stimuli\Z2\67.png,stimuli\Z2\158.png,stimuli\Z2\69.png
stimuli\Z2\22.png,stimuli\Z2\137.png,stimuli\Z2\64.png,stimuli\Z2\4.png
stimuli\Z3\28.png,stimuli\Z3\151.png,stimuli\Z3\9.png,stimuli\Z3\109.png
stimuli\Z2\111.png,stimuli\Z2\44.png,stimuli\Z2\37.png,stimuli\Z2\136.png
stimuli\Z3\9.png,stimuli\Z2\158.png,stimuli\Z2\64.png,stimuli\Catch\32.png
stimuli\Z3\121.png,stimuli\Z3\46.png,stimuli\Z3\68.png,stimuli\Z3\143.png
stimuli\Z3\62.png,stimuli\Z3\125.png,stimuli\Z3\86.png,stimuli\Z3\73.png
stimuli\Z3\8.png,stimuli\Z3\34.png,stimuli\Z3\152.png,stimuli\Z3\47.png
stimuli\Z2\135.png,stimuli\Z2\107.png,stimuli\Z2\12.png,stimuli\Z2\101.png
stimuli\Z3\95.png,stimuli\Z3\7.png,stimuli\Z3\66.png,stimuli\Z3\52.png
stimuli\Z3\52.png,stimuli\Catch\20.png,stimuli\Z3\68.png,stimuli\Z3\151.png
stimuli\Z2\95.png,stimuli\Z2\7.png,stimuli\Z2\66.png,stimuli\Z2\52.png
stimuli\Z3\93.png,stimuli\Z3\65.png,stimuli\Z3\51.png,stimuli\Z3\80.png
stimuli\Z2\38.png,stimuli\Z2\92.png,stimuli\Z2\24.png,stimuli\Z2\35.png
stimuli\Z2\36.png,stimuli\Z2\156.png,stimuli\Z2\122.png,stimuli\Z2\58.png
stimuli\Z2\124.png,stimuli\Z2\29.png,stimuli\Z2\94.png,stimuli\Z2\88.png
stimuli\Z3\104.png,stimuli\Z3\45.png,stimuli\Z3\30.png,stimuli\Z3\130.png
stimuli\Z2\60.png,stimuli\Z2\4.png,stimuli\Catch\2.png,stimuli\Z2\22.png
stimuli\Z2\27.png,stimuli\Z2\74.png,stimuli\Z2\106.png,stimuli\Z2\145.png
stimuli\Z2\79.png,stimuli\Z2\10.png,stimuli\Z2\133.png,stimuli\Z2\75.png
stimuli\Z3\17.png,stimuli\Z3\116.png,stimuli\Z3\61.png,stimuli\Z3\16.png
stimuli\Z3\87.png,stimuli\Z3\76.png,stimuli\Z3\70.png,stimuli\Z3\153.png
stimuli\Catch\10.png,stimuli\Z2\94.png,stimuli\Z3\7.png,stimuli\Z3\93.png
stimuli\Z3\157.png,stimuli\Z3\56.png,stimuli\Z3\85.png,stimuli\Z3\23.png
