stim1,stim2,stim3,stim4
stimuli\Z2\82.png,stimuli\Z2\112.png,stimuli\Z2\128.png,stimuli\Z2\142.png
stimuli\Z3\19.png,stimuli\Z3\40.png,stimuli\Z3\159.png,stimuli\Z3\54.png
stimuli\Z3\117.png,stimuli\Z3\3.png,stimuli\Z3\77.png,stimuli\Z3\139.png
stimuli\Z3\155.png,stimuli\Z3\13.png,stimuli\Z3\113.png,stimuli\Z3\49.png
stimuli\Z3\43.png,stimuli\Z3\83.png,stimuli\Z3\102.png,stimuli\Z3\144.png
stimuli\Z3\40.png,stimuli\Catch\32.png,stimuli\Z3\77.png,stimuli\Z3\83.png
stimuli\Z2\28.png,stimuli\Z2\151.png,stimuli\Z2\9.png,stimuli\Z2\109.png
stimuli\Z3\60.png,stimuli\Z3\67.png,stimuli\Z3\158.png,stimuli\Z3\69.png
stimuli\Z2\50.png,stimuli\Z2\96.png,stimuli\Z2\6.png,stimuli\Z2\14.png
stimuli\Z3\38.png,stimuli\Z3\92.png,stimuli\Z3\24.png,stimuli\Z3\35.png
stimuli\Z3\50.png,stimuli\Z3\96.png,stimuli\Z3\6.png,stimuli\Z3\14.png
stimuli\Catch\20.png,stimuli\Z2\142.png,stimuli\Z3\43.png,stimuli\Z3\49.png
stimuli\Z3\63.png,stimuli\Z3\97.png,stimuli\Z3\26.png,stimuli\Z3\99.png
stimuli\Z2\39.png,stimuli\Z2\89.png,stimuli\Z2\59.png,stimuli\Z2\105.png
stimuli\Z2\154.png,stimuli\Z2\42.png,stimuli\Z2\123.png,stimuli\Z2\20.png
stimuli\Catch\2.png,stimuli\Z3\40.png,stimuli\Z2\39.png,stimuli\Z3\3.png
stimuli\Z2\5.png,stimuli\Z2\138.png,stimuli\Z2\110.png,stimuli\Z2\114.png
stimuli\Z3\22.png,stimuli\Z3\137.png,stimuli\Z3\64.png,stimuli\Z3\4.png
stimuli\Z2\126.png,stimuli\Z2\57.png,stimuli\Z2\98.png,stimuli\Z2\147.png
stimuli\Z3\27.png,stimuli\Z3\74.png,stimuli\Z3\106.png,stimuli\Z3\145.png
stimuli\Z2\157.png,stimuli\Z2\56.png,stimuli\Z2\85.png,stimuli\Z2\23.png
stimuli\Z2\43.png,stimuli\Z2\83.png,stimuli\Z2\102.png,stimuli\Z2\144.png
stimuli\Catch\10.png,stimuli\Z3\102.png,stimuli\Z3\13.png,stimuli\Z2\83.png
stimuli\Z2\87.png,stimuli\Z2\76.png,stimuli\Z2\70.png,stimuli\Z2\153.png
