stim1,stim2
stimuli\Triplets\30\base.png,stimuli\Triplets\30\base.png
stimuli\Triplets\49\base.png,stimuli\Triplets\49\sub.png
stimuli\Triplets\47\base.png,stimuli\Triplets\47\trans.png
stimuli\Triplets\61\base.png,stimuli\Triplets\61\trans.png
stimuli\Triplets\76\base.png,stimuli\Triplets\76\trans.png
stimuli\Triplets\54\base.png,stimuli\Triplets\54\base.png
stimuli\Catch\21.png,stimuli\Triplets\76\base.png
stimuli\Triplets\17\base.png,stimuli\Triplets\17\sub.png
stimuli\Triplets\95\base.png,stimuli\Triplets\95\sub.png
stimuli\Triplets\78\base.png,stimuli\Triplets\78\trans.png
stimuli\Triplets\10\base.png,stimuli\Triplets\10\sub.png
stimuli\Triplets\20\base.png,stimuli\Triplets\20\trans.png
stimuli\Triplets\49\base.png,stimuli\Triplets\49\trans.png
stimuli\Triplets\38\base.png,stimuli\Triplets\38\sub.png
stimuli\Catch\5.png,stimuli\Triplets\17\base.png
stimuli\Triplets\54\base.png,stimuli\Triplets\54\sub.png
stimuli\Triplets\74\base.png,stimuli\Triplets\74\sub.png
stimuli\Triplets\18\base.png,stimuli\Triplets\18\trans.png
stimuli\Triplets\89\base.png,stimuli\Triplets\89\base.png
stimuli\Triplets\18\base.png,stimuli\Triplets\18\base.png
stimuli\Triplets\58\base.png,stimuli\Triplets\58\sub.png
stimuli\Triplets\83\base.png,stimuli\Triplets\83\trans.png
stimuli\Triplets\39\base.png,stimuli\Triplets\39\trans.png
stimuli\Triplets\89\base.png,stimuli\Catch\Thumbs.db
stimuli\Triplets\81\base.png,stimuli\Triplets\81\base.png
stimuli\Triplets\94\base.png,stimuli\Triplets\94\sub.png
stimuli\Triplets\60\base.png,stimuli\Triplets\60\sub.png
stimuli\Triplets\91\base.png,stimuli\Triplets\91\trans.png
stimuli\Triplets\2\base.png,stimuli\Triplets\2\base.png
stimuli\Triplets\81\base.png,stimuli\Catch\15.png
stimuli\Triplets\63\base.png,stimuli\Triplets\63\base.png
stimuli\Triplets\91\base.png,stimuli\Triplets\91\sub.png
stimuli\Triplets\74\base.png,stimuli\Triplets\74\trans.png
stimuli\Triplets\22\base.png,stimuli\Triplets\22\base.png
stimuli\Triplets\97\base.png,stimuli\Triplets\97\base.png
stimuli\Triplets\82\base.png,stimuli\Triplets\82\base.png
stimuli\Triplets\6\base.png,stimuli\Triplets\6\trans.png
stimuli\Triplets\63\base.png,stimuli\Catch\0.png
stimuli\Triplets\50\base.png,stimuli\Triplets\50\base.png
stimuli\Triplets\34\base.png,stimuli\Triplets\34\base.png
stimuli\Triplets\15\base.png,stimuli\Triplets\15\base.png
stimuli\Triplets\74\base.png,stimuli\Triplets\74\base.png
stimuli\Triplets\60\base.png,stimuli\Triplets\60\base.png
stimuli\Triplets\19\base.png,stimuli\Triplets\19\base.png
stimuli\Catch\10.png,stimuli\Triplets\58\sub.png
stimuli\Triplets\97\base.png,stimuli\Triplets\97\sub.png
stimuli\Triplets\17\base.png,stimuli\Triplets\17\base.png
stimuli\Triplets\61\base.png,stimuli\Triplets\61\sub.png
stimuli\Triplets\88\base.png,stimuli\Triplets\88\trans.png
stimuli\Triplets\8\base.png,stimuli\Triplets\8\sub.png
stimuli\Triplets\64\base.png,stimuli\Triplets\64\base.png
stimuli\Triplets\7\base.png,stimuli\Triplets\7\trans.png
stimuli\Catch\11.png,stimuli\Triplets\20\trans.png
stimuli\Triplets\1\base.png,stimuli\Triplets\1\trans.png
stimuli\Triplets\12\base.png,stimuli\Triplets\12\base.png
stimuli\Triplets\75\base.png,stimuli\Triplets\75\sub.png
stimuli\Triplets\41\base.png,stimuli\Triplets\41\base.png
stimuli\Triplets\36\base.png,stimuli\Triplets\36\sub.png
stimuli\Triplets\69\base.png,stimuli\Triplets\69\sub.png
stimuli\Triplets\68\base.png,stimuli\Triplets\68\sub.png
stimuli\Triplets\20\base.png,stimuli\Triplets\20\base.png
stimuli\Triplets\39\base.png,stimuli\Catch\28.png
stimuli\Triplets\97\base.png,stimuli\Triplets\97\trans.png
stimuli\Triplets\25\base.png,stimuli\Triplets\25\sub.png
stimuli\Triplets\35\base.png,stimuli\Triplets\35\sub.png
stimuli\Triplets\70\base.png,stimuli\Triplets\70\trans.png
stimuli\Triplets\43\base.png,stimuli\Triplets\43\trans.png
stimuli\Triplets\62\base.png,stimuli\Triplets\62\trans.png
stimuli\Triplets\73\base.png,stimuli\Triplets\73\sub.png
stimuli\Triplets\81\base.png,stimuli\Triplets\81\trans.png
stimuli\Triplets\10\sub.png,stimuli\Catch\31.png
stimuli\Triplets\92\base.png,stimuli\Triplets\92\base.png
stimuli\Triplets\93\base.png,stimuli\Triplets\93\sub.png
stimuli\Triplets\2\base.png,stimuli\Triplets\2\sub.png
stimuli\Triplets\51\base.png,stimuli\Triplets\51\base.png
stimuli\Triplets\92\base.png,stimuli\Triplets\92\trans.png
stimuli\Triplets\67\base.png,stimuli\Triplets\67\trans.png
stimuli\Catch\16.png,stimuli\Triplets\25\base.png
stimuli\Triplets\45\base.png,stimuli\Triplets\45\sub.png
stimuli\Triplets\8\base.png,stimuli\Triplets\8\trans.png
stimuli\Triplets\59\base.png,stimuli\Triplets\59\sub.png
stimuli\Triplets\61\base.png,stimuli\Triplets\61\base.png
stimuli\Triplets\37\base.png,stimuli\Triplets\37\trans.png
stimuli\Triplets\50\base.png,stimuli\Triplets\50\trans.png
stimuli\Triplets\79\base.png,stimuli\Triplets\79\base.png
