stim1,stim2
stimuli\Triplets\41\base.png,stimuli\Triplets\41\sub.png
stimuli\Triplets\1\base.png,stimuli\Triplets\1\base.png
stimuli\Triplets\41\base.png,stimuli\Triplets\41\trans.png
stimuli\Triplets\0\base.png,stimuli\Triplets\0\trans.png
stimuli\Triplets\62\base.png,stimuli\Triplets\62\base.png
stimuli\Triplets\30\base.png,stimuli\Triplets\30\sub.png
stimuli\Triplets\28\base.png,stimuli\Triplets\28\sub.png
stimuli\Triplets\41\sub.png,stimuli\Catch\21.png
stimuli\Triplets\98\base.png,stimuli\Triplets\98\trans.png
stimuli\Triplets\42\base.png,stimuli\Triplets\42\base.png
stimuli\Triplets\1\base.png,stimuli\Triplets\1\sub.png
stimuli\Triplets\64\base.png,stimuli\Triplets\64\sub.png
stimuli\Triplets\86\base.png,stimuli\Triplets\86\base.png
stimuli\Catch\5.png,stimuli\Triplets\86\base.png
stimuli\Triplets\30\base.png,stimuli\Triplets\30\trans.png
stimuli\Triplets\29\base.png,stimuli\Triplets\29\base.png
stimuli\Triplets\75\base.png,stimuli\Triplets\75\trans.png
stimuli\Triplets\55\base.png,stimuli\Triplets\55\sub.png
stimuli\Triplets\90\base.png,stimuli\Triplets\90\base.png
stimuli\Triplets\16\base.png,stimuli\Triplets\16\trans.png
stimuli\Triplets\59\base.png,stimuli\Triplets\59\base.png
stimuli\Triplets\41\trans.png,stimuli\Catch\Thumbs.db
stimuli\Triplets\58\base.png,stimuli\Triplets\58\base.png
stimuli\Triplets\62\base.png,stimuli\Triplets\62\sub.png
stimuli\Triplets\21\base.png,stimuli\Triplets\21\base.png
stimuli\Triplets\36\base.png,stimuli\Triplets\36\trans.png
stimuli\Triplets\0\base.png,stimuli\Triplets\0\base.png
stimuli\Triplets\86\base.png,stimuli\Triplets\86\sub.png
stimuli\Triplets\52\base.png,stimuli\Triplets\52\sub.png
stimuli\Triplets\53\base.png,stimuli\Triplets\53\sub.png
stimuli\Triplets\9\base.png,stimuli\Triplets\9\sub.png
stimuli\Triplets\21\base.png,stimuli\Catch\15.png
stimuli\Triplets\5\base.png,stimuli\Triplets\5\trans.png
stimuli\Triplets\26\base.png,stimuli\Triplets\26\base.png
stimuli\Triplets\27\base.png,stimuli\Triplets\27\sub.png
stimuli\Triplets\52\base.png,stimuli\Triplets\52\base.png
stimuli\Triplets\10\base.png,stimuli\Triplets\10\base.png
stimuli\Catch\0.png,stimuli\Triplets\1\base.png
stimuli\Triplets\98\base.png,stimuli\Triplets\98\base.png
stimuli\Triplets\50\base.png,stimuli\Triplets\50\sub.png
stimuli\Triplets\71\base.png,stimuli\Triplets\71\base.png
stimuli\Triplets\23\base.png,stimuli\Triplets\23\sub.png
stimuli\Triplets\43\base.png,stimuli\Triplets\43\sub.png
stimuli\Triplets\4\base.png,stimuli\Triplets\4\trans.png
stimuli\Triplets\67\base.png,stimuli\Triplets\67\sub.png
stimuli\Triplets\86\base.png,stimuli\Catch\10.png
stimuli\Triplets\90\base.png,stimuli\Triplets\90\trans.png
stimuli\Triplets\75\base.png,stimuli\Triplets\75\base.png
stimuli\Triplets\13\base.png,stimuli\Triplets\13\trans.png
stimuli\Triplets\5\base.png,stimuli\Triplets\5\base.png
stimuli\Triplets\81\base.png,stimuli\Triplets\81\sub.png
stimuli\Triplets\71\base.png,stimuli\Triplets\71\sub.png
stimuli\Triplets\24\base.png,stimuli\Triplets\24\trans.png
stimuli\Catch\11.png,stimuli\Triplets\16\base.png
stimuli\Triplets\31\base.png,stimuli\Triplets\31\sub.png
stimuli\Triplets\64\base.png,stimuli\Triplets\64\trans.png
stimuli\Triplets\46\base.png,stimuli\Triplets\46\sub.png
stimuli\Triplets\65\base.png,stimuli\Triplets\65\base.png
stimuli\Triplets\16\base.png,stimuli\Triplets\16\base.png
stimuli\Triplets\34\base.png,stimuli\Triplets\34\sub.png
stimuli\Triplets\83\base.png,stimuli\Triplets\83\base.png
stimuli\Catch\28.png,stimuli\Triplets\67\sub.png
stimuli\Triplets\63\base.png,stimuli\Triplets\63\trans.png
stimuli\Triplets\68\base.png,stimuli\Triplets\68\trans.png
stimuli\Triplets\21\base.png,stimuli\Triplets\21\sub.png
stimuli\Triplets\69\base.png,stimuli\Triplets\69\trans.png
stimuli\Triplets\42\base.png,stimuli\Triplets\42\trans.png
stimuli\Triplets\47\base.png,stimuli\Triplets\47\sub.png
stimuli\Triplets\25\base.png,stimuli\Triplets\25\base.png
stimuli\Triplets\58\base.png,stimuli\Triplets\58\trans.png
stimuli\Triplets\76\base.png,stimuli\Triplets\76\base.png
stimuli\Triplets\31\base.png,stimuli\Catch\31.png
stimuli\Triplets\96\base.png,stimuli\Triplets\96\sub.png
stimuli\Triplets\52\base.png,stimuli\Triplets\52\trans.png
stimuli\Triplets\94\base.png,stimuli\Triplets\94\trans.png
stimuli\Triplets\85\base.png,stimuli\Triplets\85\trans.png
stimuli\Triplets\12\base.png,stimuli\Triplets\12\sub.png
stimuli\Catch\16.png,stimuli\Triplets\30\base.png
stimuli\Triplets\60\base.png,stimuli\Triplets\60\trans.png
stimuli\Triplets\21\base.png,stimuli\Triplets\21\trans.png
stimuli\Triplets\37\base.png,stimuli\Triplets\37\base.png
stimuli\Triplets\80\base.png,stimuli\Triplets\80\trans.png
stimuli\Triplets\33\base.png,stimuli\Triplets\33\base.png
stimuli\Triplets\47\base.png,stimuli\Triplets\47\base.png
stimuli\Triplets\79\base.png,stimuli\Triplets\79\trans.png
