stim1,stim2,stim3,stim4
stimuli\Z3\5.png,stimuli\Z3\138.png,stimuli\Z3\110.png,stimuli\Z3\114.png
stimuli\Z3\39.png,stimuli\Z3\89.png,stimuli\Z3\59.png,stimuli\Z3\105.png
stimuli\Z3\41.png,stimuli\Z3\32.png,stimuli\Z3\131.png,stimuli\Z3\15.png
stimuli\Z2\148.png,stimuli\Z2\115.png,stimuli\Z2\91.png,stimuli\Z2\33.png
stimuli\Z2\121.png,stimuli\Z2\46.png,stimuli\Z2\68.png,stimuli\Z2\143.png
stimuli\Z3\41.png,stimuli\Z2\143.png,stimuli\Z3\39.png,stimuli\Catch\32.png
stimuli\Z3\132.png,stimuli\Z3\31.png,stimuli\Z3\127.png,stimuli\Z3\71.png
stimuli\Z2\19.png,stimuli\Z2\40.png,stimuli\Z2\159.png,stimuli\Z2\54.png
stimuli\Z2\1.png,stimuli\Z2\150.png,stimuli\Z2\146.png,stimuli\Z2\11.png
stimuli\Z3\154.png,stimuli\Z3\42.png,stimuli\Z3\123.png,stimuli\Z3\20.png
stimuli\Z2\155.png,stimuli\Z2\13.png,stimuli\Z2\113.png,stimuli\Z2\49.png
stimuli\Catch\20.png,stimuli\Z3\123.png,stimuli\Z3\114.png,stimuli\Z2\159.png
stimuli\Z2\104.png,stimuli\Z2\45.png,stimuli\Z2\30.png,stimuli\Z2\130.png
stimuli\Z3\0.png,stimuli\Z3\18.png,stimuli\Z3\100.png,stimuli\Z3\78.png
stimuli\Z2\8.png,stimuli\Z2\34.png,stimuli\Z2\152.png,stimuli\Z2\47.png
stimuli\Z2\40.png,stimuli\Catch\2.png,stimuli\Z3\18.png,stimuli\Z2\47.png
stimuli\Z2\63.png,stimuli\Z2\97.png,stimuli\Z2\26.png,stimuli\Z2\99.png
stimuli\Z3\148.png,stimuli\Z3\115.png,stimuli\Z3\91.png,stimuli\Z3\33.png
stimuli\Z2\118.png,stimuli\Z2\25.png,stimuli\Z2\141.png,stimuli\Z2\2.png
stimuli\Z2\134.png,stimuli\Z2\149.png,stimuli\Z2\55.png,stimuli\Z2\81.png
stimuli\Z3\21.png,stimuli\Z3\103.png,stimuli\Z3\48.png,stimuli\Z3\120.png
stimuli\Z3\119.png,stimuli\Z3\53.png,stimuli\Z3\129.png,stimuli\Z3\72.png
stimuli\Z3\124.png,stimuli\Z3\29.png,stimuli\Z3\94.png,stimuli\Z3\88.png
stimuli\Z2\155.png,stimuli\Z3\21.png,stimuli\Catch\10.png,stimuli\Z3\100.png
