stim1,stim2,stim3,stim4
stimuli\Z2\119.png,stimuli\Z2\53.png,stimuli\Z2\129.png,stimuli\Z2\72.png
stimuli\Z2\0.png,stimuli\Z2\18.png,stimuli\Z2\100.png,stimuli\Z2\78.png
stimuli\Z3\36.png,stimuli\Z3\156.png,stimuli\Z3\122.png,stimuli\Z3\58.png
stimuli\Z2\129.png,stimuli\Z3\156.png,stimuli\Catch\32.png,stimuli\Z3\36.png
stimuli\Z2\21.png,stimuli\Z2\103.png,stimuli\Z2\48.png,stimuli\Z2\120.png
stimuli\Z2\117.png,stimuli\Z2\3.png,stimuli\Z2\77.png,stimuli\Z2\139.png
stimuli\Z2\41.png,stimuli\Z2\32.png,stimuli\Z2\131.png,stimuli\Z2\15.png
stimuli\Z3\82.png,stimuli\Z3\112.png,stimuli\Z3\128.png,stimuli\Z3\142.png
stimuli\Z3\111.png,stimuli\Z3\44.png,stimuli\Z3\37.png,stimuli\Z3\136.png
stimuli\Z3\108.png,stimuli\Z3\90.png,stimuli\Z3\84.png,stimuli\Z3\140.png
stimuli\Z3\36.png,stimuli\Z2\41.png,stimuli\Z3\44.png,stimuli\Catch\20.png
stimuli\Z2\108.png,stimuli\Z2\90.png,stimuli\Z2\84.png,stimuli\Z2\140.png
stimuli\Z2\132.png,stimuli\Z2\31.png,stimuli\Z2\127.png,stimuli\Z2\71.png
stimuli\Z3\126.png,stimuli\Z3\57.png,stimuli\Z3\98.png,stimuli\Z3\147.png
stimuli\Z3\134.png,stimuli\Z3\149.png,stimuli\Z3\55.png,stimuli\Z3\81.png
stimuli\Z2\62.png,stimuli\Z2\125.png,stimuli\Z2\86.png,stimuli\Z2\73.png
stimuli\Z2\15.png,stimuli\Catch\2.png,stimuli\Z3\147.png,stimuli\Z2\139.png
stimuli\Z2\17.png,stimuli\Z2\116.png,stimuli\Z2\61.png,stimuli\Z2\16.png
stimuli\Z2\93.png,stimuli\Z2\65.png,stimuli\Z2\51.png,stimuli\Z2\80.png
stimuli\Z3\135.png,stimuli\Z3\107.png,stimuli\Z3\12.png,stimuli\Z3\101.png
stimuli\Z3\79.png,stimuli\Z3\10.png,stimuli\Z3\133.png,stimuli\Z3\75.png
stimuli\Catch\10.png,stimuli\Z3\149.png,stimuli\Z3\135.png,stimuli\Z2\3.png
stimuli\Z3\1.png,stimuli\Z3\150.png,stimuli\Z3\146.png,stimuli\Z3\11.png
stimuli\Z3\118.png,stimuli\Z3\25.png,stimuli\Z3\141.png,stimuli\Z3\2.png
