stim1,stim2
stimuli\Triplets\57\base.png,stimuli\Triplets\57\sub.png
stimuli\Triplets\55\base.png,stimuli\Triplets\55\trans.png
stimuli\Triplets\33\base.png,stimuli\Triplets\33\sub.png
stimuli\Triplets\2\base.png,stimuli\Triplets\2\trans.png
stimuli\Triplets\11\base.png,stimuli\Triplets\11\base.png
stimuli\Triplets\70\base.png,stimuli\Triplets\70\base.png
stimuli\Catch\21.png,stimuli\Triplets\33\base.png
stimuli\Triplets\48\base.png,stimuli\Triplets\48\trans.png
stimuli\Triplets\78\base.png,stimuli\Triplets\78\base.png
stimuli\Triplets\48\base.png,stimuli\Triplets\48\base.png
stimuli\Triplets\9\base.png,stimuli\Triplets\9\base.png
stimuli\Triplets\72\base.png,stimuli\Triplets\72\sub.png
stimuli\Triplets\35\base.png,stimuli\Triplets\35\trans.png
stimuli\Triplets\2\base.png,stimuli\Catch\5.png
stimuli\Triplets\94\base.png,stimuli\Triplets\94\base.png
stimuli\Triplets\45\base.png,stimuli\Triplets\45\trans.png
stimuli\Triplets\82\base.png,stimuli\Triplets\82\trans.png
stimuli\Triplets\77\base.png,stimuli\Triplets\77\base.png
stimuli\Triplets\95\base.png,stimuli\Triplets\95\trans.png
stimuli\Triplets\42\base.png,stimuli\Triplets\42\sub.png
stimuli\Catch\Thumbs.db,stimuli\Triplets\94\base.png
stimuli\Triplets\66\base.png,stimuli\Triplets\66\base.png
stimuli\Triplets\22\base.png,stimuli\Triplets\22\sub.png
stimuli\Triplets\99\base.png,stimuli\Triplets\99\trans.png
stimuli\Triplets\3\base.png,stimuli\Triplets\3\trans.png
stimuli\Triplets\22\base.png,stimuli\Triplets\22\trans.png
stimuli\Triplets\90\base.png,stimuli\Triplets\90\sub.png
stimuli\Triplets\23\base.png,stimuli\Triplets\23\trans.png
stimuli\Triplets\51\base.png,stimuli\Triplets\51\trans.png
stimuli\Triplets\32\base.png,stimuli\Triplets\32\sub.png
stimuli\Triplets\38\base.png,stimuli\Triplets\38\trans.png
stimuli\Catch\15.png,stimuli\Triplets\22\base.png
stimuli\Triplets\39\base.png,stimuli\Triplets\39\sub.png
stimuli\Triplets\23\base.png,stimuli\Triplets\23\base.png
stimuli\Triplets\13\base.png,stimuli\Triplets\13\base.png
stimuli\Triplets\88\base.png,stimuli\Triplets\88\sub.png
stimuli\Triplets\22\base.png,stimuli\Catch\0.png
stimuli\Triplets\15\base.png,stimuli\Triplets\15\trans.png
stimuli\Triplets\99\base.png,stimuli\Triplets\99\sub.png
stimuli\Triplets\26\base.png,stimuli\Triplets\26\sub.png
stimuli\Triplets\55\base.png,stimuli\Triplets\55\base.png
stimuli\Triplets\12\base.png,stimuli\Triplets\12\trans.png
stimuli\Triplets\57\base.png,stimuli\Triplets\57\base.png
stimuli\Triplets\28\base.png,stimuli\Triplets\28\trans.png
stimuli\Triplets\49\base.png,stimuli\Triplets\49\base.png
stimuli\Catch\10.png,stimuli\Triplets\9\base.png
stimuli\Triplets\59\base.png,stimuli\Triplets\59\trans.png
stimuli\Triplets\53\base.png,stimuli\Triplets\53\trans.png
stimuli\Triplets\7\base.png,stimuli\Triplets\7\base.png
stimuli\Triplets\83\base.png,stimuli\Triplets\83\sub.png
stimuli\Triplets\33\base.png,stimuli\Triplets\33\trans.png
stimuli\Triplets\20\base.png,stimuli\Triplets\20\sub.png
stimuli\Triplets\48\trans.png,stimuli\Catch\11.png
stimuli\Triplets\40\base.png,stimuli\Triplets\40\trans.png
stimuli\Triplets\79\base.png,stimuli\Triplets\79\sub.png
stimuli\Triplets\96\base.png,stimuli\Triplets\96\base.png
stimuli\Triplets\44\base.png,stimuli\Triplets\44\base.png
stimuli\Triplets\27\base.png,stimuli\Triplets\27\base.png
stimuli\Triplets\13\base.png,stimuli\Triplets\13\sub.png
stimuli\Triplets\44\base.png,stimuli\Triplets\44\sub.png
stimuli\Triplets\94\base.png,stimuli\Catch\28.png
stimuli\Triplets\3\base.png,stimuli\Triplets\3\sub.png
stimuli\Triplets\72\base.png,stimuli\Triplets\72\base.png
stimuli\Triplets\31\base.png,stimuli\Triplets\31\base.png
stimuli\Triplets\32\base.png,stimuli\Triplets\32\base.png
stimuli\Triplets\84\base.png,stimuli\Triplets\84\sub.png
stimuli\Triplets\4\base.png,stimuli\Triplets\4\sub.png
stimuli\Triplets\40\base.png,stimuli\Triplets\40\base.png
stimuli\Triplets\65\base.png,stimuli\Triplets\65\trans.png
stimuli\Catch\31.png,stimuli\Triplets\33\trans.png
stimuli\Triplets\89\base.png,stimuli\Triplets\89\sub.png
stimuli\Triplets\31\base.png,stimuli\Triplets\31\trans.png
stimuli\Triplets\68\base.png,stimuli\Triplets\68\base.png
stimuli\Triplets\26\base.png,stimuli\Triplets\26\trans.png
stimuli\Triplets\73\base.png,stimuli\Triplets\73\base.png
stimuli\Triplets\16\base.png,stimuli\Triplets\16\sub.png
stimuli\Triplets\85\base.png,stimuli\Triplets\85\base.png
stimuli\Catch\16.png,stimuli\Triplets\27\base.png
stimuli\Triplets\28\base.png,stimuli\Triplets\28\base.png
stimuli\Triplets\11\base.png,stimuli\Triplets\11\sub.png
stimuli\Triplets\71\base.png,stimuli\Triplets\71\trans.png
stimuli\Triplets\29\base.png,stimuli\Triplets\29\trans.png
stimuli\Triplets\18\base.png,stimuli\Triplets\18\sub.png
stimuli\Triplets\48\base.png,stimuli\Triplets\48\sub.png
stimuli\Triplets\80\base.png,stimuli\Triplets\80\sub.png
